r_channel;ir_channel
119840;154659
119852;154645
119837;154647
119862;154655
119876;154622
119846;154647
119840;154679
119829;154668
119866;154643
119854;154660
119876;154690
119880;154667
119857;154685
119845;154711
119847;154677
119854;154649
119837;154637
119834;154643
119818;154589
119812;154555
119771;154537
119796;154481
119806;154424
119772;154391
119753;154387
119768;154370
119748;154395
119740;154392
119744;154360
119757;154354
119743;154341
119725;154367
119719;154357
119761;154345
119752;154370
119770;154332
119774;154325
119734;154348
119713;154378
119710;154346
119750;154325
119745;154345
119764;154389
119744;154359
119742;154377
119716;154391
119746;154378
119759;154318
119748;154337
119738;154367
119756;154349
119743;154367
119715;154382
119745;154375
119775;154331
119723;154345
119721;154374
119735;154387
119749;154376
119741;154390
119757;154406
119775;154379
119755;154421
119727;154436
119737;154434
119760;154405
119759;154445
119786;154407
119788;154408
119761;154430
119746;154476
119717;154439
119776;154422
119777;154426
119778;154461
119767;154456
119768;154459
119753;154487
119746;154491
119775;154432
119774;154455
119784;154487
119784;154492
119774;154497
119759;154531
119798;154503
119810;154495
119784;154498
119790;154523
119779;154532
119785;154545
119764;154536
119799;154534
119827;154517
119810;154531
119768;154563
119791;154579
119807;154572
119803;154588
119809;154606
119828;154555
119801;154583
119801;154633
119781;154596
119829;154583
119811;154572
119818;154564
119787;154512
119772;154484
119721;154463
119731;154407
119728;154333
119716;154349
119737;154302
119721;154314
119691;154299
119695;154331
119692;154265
119711;154274
119708;154246
119717;154271
119718;154254
119721;154283
119674;154260
119690;154283
119709;154216
119704;154241
119668;154250
119697;154270
119702;154272
119689;154288
119708;154269
119725;154272
119704;154278
119697;154335
119677;154283
119708;154287
119706;154268
119727;154301
119727;154258
119711;154304
119666;154295
119693;154297
119707;154242
119721;154294
119701;154290
119728;154327
119712;154312
119703;154363
119693;154318
119717;154311
119719;154292
119741;154371
119729;154337
119726;154387
119685;154357
119753;154365
119726;154322
119738;154358
119730;154363
119758;154409
119735;154381
119725;154425
119726;154379
119786;154398
119740;154350
119724;154433
119728;154416
119769;154450
119730;154410
119749;154458
119765;154380
119766;154456
119718;154435
119748;154473
119754;154446
119770;154494
119777;154473
119806;154479
119753;154479
119751;154539
119729;154507
119798;154491
119771;154505
119805;154529
119784;154499
119801;154545
119754;154538
119780;154588
119783;154481
119808;154542
119802;154550
119827;154576
119788;154558
119789;154589
119770;154490
119807;154493
119751;154383
119753;154431
119727;154354
119740;154359
119693;154317
119716;154311
119726;154231
119716;154283
119673;154256
119698;154274
119681;154245
119712;154276
119688;154221
119723;154249
